institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",OPEN,neutral,3609,5538,2016,"Indian Institute  of Technology Kharagpur_Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",85
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5586,6355,2016,"Indian Institute  of Technology Kharagpur_Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",86
Indian Institute  of Technology Kharagpur,"Physics (5 Years, Integrated Master of Science)",OPEN,neutral,3404,5558,2016,"Indian Institute  of Technology Kharagpur_Physics (5 Years, Integrated Master of Science)",87
Indian Institute  of Technology Kharagpur,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,4496,4893,2016,"Indian Institute  of Technology Kharagpur_Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",88
Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3903,5869,2016,"Indian Institute  of Technology Hyderabad_Chemical Engineering (4 Years, Bachelor of Technology)",89
Indian Institute  of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3804,5300,2016,"Indian Institute  of Technology Hyderabad_Civil Engineering (4 Years, Bachelor of Technology)",90
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,418,879,2016,"Indian Institute  of Technology Hyderabad_Computer Science and Engineering (4 Years, Bachelor of Technology)",91
Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1393,2079,2016,"Indian Institute  of Technology Hyderabad_Electrical Engineering (4 Years, Bachelor of Technology)",92
Indian Institute  of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,4255,4836,2016,"Indian Institute  of Technology Hyderabad_Engineering Physics (4 Years, Bachelor of Technology)",93
Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",OPEN,neutral,2674,4603,2016,"Indian Institute  of Technology Hyderabad_Engineering Science (4 Years, Bachelor of Technology)",94
Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5389,6844,2016,"Indian Institute  of Technology Hyderabad_Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",95
Indian Institute  of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1430,3401,2016,"Indian Institute  of Technology Hyderabad_Mechanical Engineering (4 Years, Bachelor of Technology)",96
Indian Institute  of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,699,2704,2016,"Indian Institute  of Technology Jodhpur_Computer Science and Engineering (4 Years, Bachelor of Technology)",97
Indian Institute  of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3693,5615,2016,"Indian Institute  of Technology Jodhpur_Electrical Engineering (4 Years, Bachelor of Technology)",98
Indian Institute  of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4876,6006,2016,"Indian Institute  of Technology Jodhpur_Mechanical Engineering (4 Years, Bachelor of Technology)",99
Indian Institute  of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1501,2988,2016,"Indian Institute  of Technology Kanpur_Aerospace Engineering (4 Years, Bachelor of Technology)",100
Indian Institute  of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",OPEN,neutral,3578,5433,2016,"Indian Institute  of Technology Kanpur_Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",101
Indian Institute  of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1713,2569,2016,"Indian Institute  of Technology Kanpur_Chemical Engineering (4 Years, Bachelor of Technology)",102
